Full_Name,Country,Decision,Wins_By_KO,Loses_By_KO,Wins_By_Submission,Loses_By_Submission
Hart Collin,USA,1.0,1.0,0.0,3.0,0.0
Hart Dan,USA,0.0,0.0,0.0,0.0,3.0
Hartle Kreg,USA,0.0,0.0,1.0,0.0,1.0
Hartley Justin,USA,0.0,0.0,1.0,0.0,0.0
Hartline David,USA,0.0,0.0,1.0,0.0,0.0
Hartman George,USA,0.0,0.0,0.0,0.0,1.0
Hartman Kris,USA,0.0,0.0,0.0,0.0,0.0
Hartsner Emil,USA,0.0,0.0,0.0,0.0,1.0
Hartt Dale,USA,0.0,1.0,0.0,0.0,2.0
Hartwell Josh,USA,0.0,0.0,0.0,0.0,1.0
Hartwig Luke,USA,0.0,0.0,1.0,0.0,0.0
Hartwig Owen,USA,0.0,0.0,0.0,0.0,1.0
Harutunian Gor,USA,0.0,0.0,0.0,0.0,0.0
Harutyunyan Sergey,ARM,0.0,0.0,0.0,0.0,1.0
Harvest Marshall,ARM,0.0,0.0,1.0,0.0,0.0
Harvey Eric,ARM,0.0,0.0,0.0,0.0,1.0
Harvey Josh,USA,1.0,0.0,0.0,0.0,0.0
Harvey Louis,USA,0.0,0.0,1.0,0.0,0.0
Harvey Matt,USA,0.0,0.0,1.0,0.0,0.0
Harvey Raylene,USA,0.0,0.0,0.0,0.0,1.0
Harvey Zachary,USA,0.0,0.0,3.0,1.0,2.0
Harvie Keir,USA,0.0,1.0,0.0,2.0,0.0
Harvison Clay,USA,0.0,6.0,2.0,4.0,3.0
Harwood Neil,USA,0.0,0.0,1.0,0.0,1.0
Hasanov Bobir,USA,0.0,0.0,0.0,0.0,1.0
Hasanzadeh Milan,USA,0.0,0.0,1.0,0.0,0.0
Hasdell Lee,USA,0.0,0.0,1.0,0.0,1.0
Hasegawa Fuhito,USA,1.0,0.0,0.0,0.0,0.0
Hasegawa Hidehiko,USA,1.0,0.0,1.0,1.0,0.0
Hasegawa Ken,JPN,0.0,6.0,2.0,4.0,1.0
Haselrig Carlton,JPN,0.0,0.0,1.0,0.0,0.0
Haseman Chris,JPN,0.0,0.0,3.0,2.0,1.0
Hashemzadeh Seyed Majid,JPN,0.0,0.0,0.0,0.0,1.0
Hashi Takayo,JPN,0.0,1.0,1.0,5.0,1.0
Hashi Tomohiro,JPN,0.0,0.0,0.0,0.0,0.0
Hashimoto Asato,JPN,0.0,0.0,1.0,0.0,0.0
Hashimoto Tomohiko,JPN,0.0,0.0,1.0,0.0,0.0
Haskins Justin,JPN,0.0,0.0,3.0,0.0,3.0
Hasni Issem,JPN,0.0,0.0,0.0,0.0,1.0
Hasrul Muhammad,MAS,0.0,0.0,1.0,0.0,0.0
Hassan Abdul,MAS,0.0,0.0,1.0,0.0,0.0
Hassan Ali,GER,0.0,0.0,1.0,0.0,0.0
Hassan Hayder,USA,0.0,5.0,1.0,0.0,2.0
Hassan Mahmoud,USA,0.0,0.0,3.0,0.0,1.0
Hassan Mehdi,USA,0.0,0.0,0.0,0.0,0.0
Hassan Badawy Mohamed,USA,0.0,1.0,0.0,0.0,0.0
Hasse Jean,USA,0.0,0.0,1.0,0.0,0.0
Hassett Brett,USA,0.0,0.0,0.0,0.0,3.0
Hastings Brandon,USA,0.0,0.0,1.0,0.0,0.0
Hasumi Hikaru,USA,0.0,0.0,0.0,0.0,0.0
Hata Daiki,JPN,0.0,0.0,0.0,0.0,0.0
Hata Takehiko,JPN,0.0,0.0,0.0,0.0,0.0
Hatch Damian,JPN,0.0,0.0,1.0,0.0,1.0
Hatch Jared,JPN,0.0,0.0,0.0,0.0,1.0
Hatch Jarome,USA,0.0,0.0,1.0,0.0,2.0
Hatch William,USA,0.0,0.0,0.0,0.0,1.0
Hathaway Jason,USA,0.0,0.0,2.0,0.0,0.0
Hathaway John,ENG,0.0,6.0,1.0,3.0,0.0
Hatley Kerry,ENG,0.0,0.0,0.0,0.0,0.0
Hatley Jr. Chris,USA,0.0,3.0,1.0,1.0,2.0
Hatley Jr. Chris,USA,0.0,0.0,0.0,0.0,0.0
Hatta Ryo,USA,0.0,0.0,1.0,0.0,0.0
Hattan Jake,USA,0.0,0.0,0.0,0.0,2.0
Hattingh Rico,USA,0.0,0.0,0.0,1.0,0.0
Hatton Jeff,USA,0.0,0.0,1.0,1.0,0.0
Hatton Mitchell,USA,0.0,0.0,0.0,0.0,1.0
Hattori Yoko,USA,0.0,0.0,0.0,0.0,0.0
Hatuev Ayub,USA,0.0,1.0,0.0,0.0,1.0
