Full_Name,Country,Wins,Loses,Decision,Wins_By_KO,Loses_By_KO,Wins_By_Submission,Loses_By_Submission,Champion
Ciaran Clarke,Republic of Ireland,4,0,0,1,0,3.0,0.0,0
Ilias Bulaid,Morocco,3,0,0,0,0,3.0,0.0,0
Rob Whiteford,Scotland,1,0,0,0,0,0.0,0.0,0
Asaël Adjoudj,France,1,1,0,0,0,0.0,0.0,0
John De Jesus,United States,2,2,0,1,1,1.0,1.0,0
Vladyslav Parubchenko,Ukraine,0,2,0,0,1,0.0,1.0,0
Mads Burnell,Denmark,3,0,0,0,0,3.0,0.0,0
Fabacary Diatta,France,2,0,0,1,0,1.0,0.0,0
Cody Law,United States,5,0,0,0,0,5.0,0.0,0
Jeremy Kennedy,Canada,2,1,0,1,0,1.0,0.0,0
Keoni Diggs,United States,2,1,0,0,0,2.0,0.0,0
Johnny Soto,United States,1,1,0,0,0,0.0,0.0,0
Justin Gonzales,United States,1,1,0,0,0,0.0,0.0,0
Isaiah Hokit,United States,0,1,0,0,0,0.0,0.0,0
Gadzhi Rabadanov,Russia,1,0,0,0,0,0.0,0.0,0
Khasan Magomedsharipov,Russia,1,0,0,0,0,0.0,0.0,0
Darrion Caldwell,United States,12,4,0,10,3,2.0,1.0,0
James Gallagher,Republic of Ireland,8,2,0,4,1,4.0,1.0,0
Brian Moore,Republic of Ireland,5,4,0,0,0,5.0,4.0,0
Patchy Mix,United States,4,1,0,3,0,1.0,0.0,0
Leandro Higo,Brazil,4,3,0,3,0,1.0,3.0,0
Juan Archuleta,United States,7,2,0,4,0,3.0,2.0,0
Cass Bell,United States,5,2,0,2,0,3.0,2.0,0
Toby Misech,United States,2,1,0,1,0,1.0,0.0,0
Kyoji Horiguchi,Japan,1,1,0,0,0,0.0,0.0,0
Jornel Lugo,United States,4,0,0,0,0,4.0,0.0,0
Érik Pérez,Mexico,1,2,0,0,1,0.0,1.0,0
Raufeon Stots,United States,5,0,0,3,0,2.0,0.0,0
Sergio Pettis,United States,4,0,0,2,0,2.0,0.0,0
Josh Hill,Canada,3,1,0,2,0,1.0,0.0,0
Keith Lee,United States,2,2,0,0,1,2.0,1.0,0
Jaylon Bates,United States,4,0,0,2,0,2.0,0.0,0
Magomed Magomedov,Russia,2,1,0,1,0,1.0,0.0,0
Matheus Mattos,Brazil,1,1,0,0,0,0.0,0.0,0
C,United States,0,2,0,0,0,0.0,2.0,0
Blaine Shutt,United States,0,1,0,0,0,0.0,0.0,0
Danny Sabatello,United States,1,0,0,0,0,0.0,0.0,0
Brett Johns,Wales,0,1,0,0,0,0.0,0.0,0
Bobby Seronio III,United States,1,0,0,0,0,0.0,0.0,0
Khurshed Kakhorov,Tajikistan,1,0,0,0,0,0.0,0.0,0
Nikita Mikhailov,Russia,1,0,0,0,0,0.0,0.0,0
Jared Scoggins,United States,0,1,0,0,0,0.0,0.0,0
Sinead Kavanagh,Republic of Ireland,4,5,0,3,1,1.0,4.0,0
Arlene Blencowe,Australia,8,4,0,0,3,8.0,1.0,0
Talita Nogueira,Brazil,2,2,0,1,1,1.0,1.0,0
Janay Harding,New Zealand,3,3,0,1,0,2.0,3.0,0
Leah McCourt,Northern Ireland,5,0,0,2,0,3.0,0.0,0
Leslie Smith,United States,2,2,0,0,0,2.0,2.0,0
Jessica Borga,United States,1,2,0,0,0,0.0,2.0,0
Cris Cyborg,Brazil,4,0,0,2,0,2.0,0.0,0
Cat Zingano,United States,2,0,0,1,0,1.0,0.0,0
Dayana Silva,Brazil,0,2,0,0,0,0.0,2.0,0
Pam Sorenson,United States,1,1,0,0,0,0.0,0.0,0
Ilima,United States,10,1,0,9,0,1.0,0.0,0
Lena Ovchynnikova,Ukraine,2,3,0,1,2,1.0,1.0,0
Veta Arteaga,United States,5,4,0,2,0,3.0,4.0,0
Bruna Ellen,Brazil,4,3,0,0,1,4.0,2.0,0
Elina Kallionidou,Greece,1,4,0,0,2,0.0,2.0,0
Kate Jackson,England,3,3,0,0,1,3.0,2.0,0
Denise Kielholtz,Netherlands,6,2,0,4,0,2.0,2.0,0
Juliana Velasquez,Brazil,7,0,0,2,0,5.0,0.0,0
Alejandra Lara,Colombia,3,4,0,1,2,2.0,2.0,0
Valerie Loureda,United States,4,1,0,0,0,4.0,0.0,0
Ilara Joanne,Brazil,1,2,0,0,0,0.0,2.0,0
Kana Watanabe,Japan,2,1,0,0,0,2.0,0.0,0
Liz Carmouche,United States,3,0,0,2,0,1.0,0.0,0
DeAnna Bennett,United States,1,1,0,0,0,0.0,0.0,0
Sumiko Inaba,United States,3,0,0,1,0,2.0,0.0,0
Diana Avsaragova,Russia,2,0,0,0,0,2.0,0.0,0
Vanessa Porto,Brazil,1,1,0,0,0,0.0,0.0,0
Desiree Yanez,United States,0,2,0,0,0,0.0,2.0,0
Randi Field,Canada,0,1,0,0,0,0.0,0.0,0
Irina Alekseeva,Russia,1,0,0,0,0,0.0,0.0,0
Darina Mazdyuk,Russia,0,1,0,0,0,0.0,0.0,0
